load,date
0.0,2015-01-01 19:00:00
0.0,2015-01-01 20:00:00
0.0,2015-01-01 21:00:00
0.0,2015-01-01 22:00:00
0.0,2015-01-01 23:00:00
2.2076642513275146,2015-01-02 00:00:00
2.982686996459961,2015-01-02 01:00:00
4.59716796875,2015-01-02 02:00:00
6.714497089385986,2015-01-02 03:00:00
7.212636947631836,2015-01-02 04:00:00
10.696332931518555,2015-01-02 05:00:00
13.112117767333984,2015-01-02 06:00:00
14.708321571350098,2015-01-02 07:00:00
0.0,2015-01-02 08:00:00
0.0,2015-01-02 09:00:00
0.0,2015-01-02 10:00:00
2.2943832874298096,2015-01-02 11:00:00
4.842472076416016,2015-01-02 12:00:00
6.572701454162598,2015-01-02 13:00:00
9.018206596374512,2015-01-02 14:00:00
9.323723793029785,2015-01-02 15:00:00
10.451720237731934,2015-01-02 16:00:00
0.0,2015-01-02 17:00:00
0.0,2015-01-02 18:00:00
0.0,2015-01-02 19:00:00
0.0,2015-01-02 20:00:00
0.0,2015-01-02 21:00:00
0.312443345785141,2015-01-02 22:00:00
0.0,2015-01-02 23:00:00
2.504556655883789,2015-01-03 00:00:00
4.405735492706299,2015-01-03 01:00:00
5.555001258850098,2015-01-03 02:00:00
7.909246444702148,2015-01-03 03:00:00
9.512824058532715,2015-01-03 04:00:00
11.56786823272705,2015-01-03 05:00:00
13.751579284667969,2015-01-03 06:00:00
15.112398147583008,2015-01-03 07:00:00
16.730247497558594,2015-01-03 08:00:00
17.50443458557129,2015-01-03 09:00:00
19.04071617126465,2015-01-03 10:00:00
21.13566017150879,2015-01-03 11:00:00
23.904647827148438,2015-01-03 12:00:00
25.05251693725586,2015-01-03 13:00:00
27.99007225036621,2015-01-03 14:00:00
31.03484535217285,2015-01-03 15:00:00
32.46999740600586,2015-01-03 16:00:00
33.63943862915039,2015-01-03 17:00:00
35.118587493896484,2015-01-03 18:00:00
36.35851287841797,2015-01-03 19:00:00
37.68551254272461,2015-01-03 20:00:00
38.787925720214844,2015-01-03 21:00:00
40.18061447143555,2015-01-03 22:00:00
41.20235824584961,2015-01-03 23:00:00
42.693443298339844,2015-01-04 00:00:00
45.137718200683594,2015-01-04 01:00:00
46.16682815551758,2015-01-04 02:00:00
47.566551208496094,2015-01-04 03:00:00
49.72239685058594,2015-01-04 04:00:00
50.0,2015-01-04 05:00:00
50.0,2015-01-04 06:00:00
50.0,2015-01-04 07:00:00
50.0,2015-01-04 08:00:00
50.0,2015-01-04 09:00:00
50.0,2015-01-04 10:00:00
50.0,2015-01-04 11:00:00
50.0,2015-01-04 12:00:00
50.0,2015-01-04 13:00:00
50.0,2015-01-04 14:00:00
50.0,2015-01-04 15:00:00
50.0,2015-01-04 16:00:00
50.0,2015-01-04 17:00:00
50.0,2015-01-04 18:00:00
50.0,2015-01-04 19:00:00
50.0,2015-01-04 20:00:00
50.0,2015-01-04 21:00:00
50.0,2015-01-04 22:00:00
50.0,2015-01-04 23:00:00
50.0,2015-01-05 00:00:00
50.0,2015-01-05 01:00:00
50.0,2015-01-05 02:00:00
50.0,2015-01-05 03:00:00
50.0,2015-01-05 04:00:00
50.0,2015-01-05 05:00:00
50.0,2015-01-05 06:00:00
50.0,2015-01-05 07:00:00
50.0,2015-01-05 08:00:00
50.0,2015-01-05 09:00:00
37.11341857910156,2015-01-05 10:00:00
39.5838508605957,2015-01-05 11:00:00
43.57532501220703,2015-01-05 12:00:00
45.09436798095703,2015-01-05 13:00:00
46.99353790283203,2015-01-05 14:00:00
49.731842041015625,2015-01-05 15:00:00
50.0,2015-01-05 16:00:00
50.0,2015-01-05 17:00:00
50.0,2015-01-05 18:00:00
50.0,2015-01-05 19:00:00
50.0,2015-01-05 20:00:00
50.0,2015-01-05 21:00:00
50.0,2015-01-05 22:00:00
50.0,2015-01-05 23:00:00
50.0,2015-01-06 00:00:00
50.0,2015-01-06 01:00:00
50.0,2015-01-06 02:00:00
50.0,2015-01-06 03:00:00
50.0,2015-01-06 04:00:00
50.0,2015-01-06 05:00:00
50.0,2015-01-06 06:00:00
50.0,2015-01-06 07:00:00
50.0,2015-01-06 08:00:00
50.0,2015-01-06 09:00:00
50.0,2015-01-06 10:00:00
50.0,2015-01-06 11:00:00
50.0,2015-01-06 12:00:00
50.0,2015-01-06 13:00:00
50.0,2015-01-06 14:00:00
50.0,2015-01-06 15:00:00
50.0,2015-01-06 16:00:00
50.0,2015-01-06 17:00:00
50.0,2015-01-06 18:00:00
50.0,2015-01-06 19:00:00
50.0,2015-01-06 20:00:00
50.0,2015-01-06 21:00:00
50.0,2015-01-06 22:00:00
32.06406784057617,2015-01-06 23:00:00
33.861732482910156,2015-01-07 00:00:00
36.606510162353516,2015-01-07 01:00:00
