Latitude (decimal degrees):	45.235
Longitude (decimal degrees):	4.058
Elevation (m):	790
Radiation database:	PVGIS-SARAH2


Slope: 33 deg. (optimum)
Azimuth: 3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20050101:0010,0.0,0.0,1.58,1.52,0.0
20050101:0110,0.0,0.0,2.18,1.59,0.0
20050101:0210,0.0,0.0,2.34,1.59,0.0
20050101:0310,0.0,0.0,2.5,1.66,0.0
20050101:0410,0.0,0.0,2.68,1.72,0.0
20050101:0510,0.0,0.0,2.82,1.79,0.0
20050101:0610,0.0,0.0,2.89,1.72,0.0
20050101:0710,0.0,0.0,2.82,1.52,0.0
20050101:0810,21.39,5.86,2.61,1.38,0.0
20050101:0910,83.75,13.01,2.64,1.31,0.0
20050101:1010,57.06,18.3,3.0,1.38,0.0
20050101:1110,136.66,21.25,3.35,1.52,0.0
20050101:1210,166.24,21.55,4.4,1.59,0.0
20050101:1310,123.4,19.16,4.47,1.45,0.0
20050101:1410,143.51,14.35,4.72,1.66,0.0
20050101:1510,63.03,7.57,4.34,1.17,0.0
20050101:1610,0.0,0.0,4.08,1.1,0.0
20050101:1710,0.0,0.0,3.8,1.17,0.0
20050101:1810,0.0,0.0,3.62,1.38,0.0
20050101:1910,0.0,0.0,3.75,1.17,0.0
20050101:2010,0.0,0.0,3.65,1.24,0.0
20050101:2110,0.0,0.0,3.76,1.24,0.0
20050101:2210,0.0,0.0,3.8,1.1,0.0
20050101:2310,0.0,0.0,3.66,1.03,0.0
20050102:0010,0.0,0.0,3.37,1.1,0.0
20050102:0110,0.0,0.0,3.34,1.24,0.0
20050102:0210,0.0,0.0,3.28,1.59,0.0
20050102:0310,0.0,0.0,4.42,2.21,0.0
20050102:0410,0.0,0.0,4.34,2.07,0.0
20050102:0510,0.0,0.0,4.3,1.66,0.0
20050102:0610,0.0,0.0,4.16,1.24,0.0
20050102:0710,0.0,0.0,4.02,1.52,0.0
20050102:0810,21.37,5.87,3.96,1.45,0.0
20050102:0910,293.15,13.04,4.54,1.45,0.0
20050102:1010,212.85,18.35,5.07,2.14,0.0
20050102:1110,52.38,21.32,5.21,3.59,0.0
20050102:1210,59.87,21.64,4.65,3.66,0.0
20050102:1310,33.67,19.27,4.27,3.93,0.0
20050102:1410,37.42,14.47,3.7,3.79,0.0
20050102:1510,39.06,7.7,3.34,3.24,0.0
20050102:1610,0.0,0.0,2.63,3.03,0.0
20050102:1710,0.0,0.0,1.89,2.9,0.0
20050102:1810,0.0,0.0,1.22,2.97,0.0
20050102:1910,0.0,0.0,0.4,3.1,0.0
20050102:2010,0.0,0.0,0.15,3.17,0.0
20050102:2110,0.0,0.0,-0.08,3.17,0.0
20050102:2210,0.0,0.0,-0.16,3.24,0.0
20050102:2310,0.0,0.0,-0.31,3.17,0.0
20050103:0010,0.0,0.0,-0.51,3.03,0.0
20050103:0110,0.0,0.0,-0.89,2.9,0.0
20050103:0210,0.0,0.0,-0.75,2.62,0.0
20050103:0310,0.0,0.0,-0.71,2.76,0.0
20050103:0410,0.0,0.0,-0.81,2.41,0.0
20050103:0510,0.0,0.0,-0.77,2.41,0.0
20050103:0610,0.0,0.0,-0.88,2.55,0.0
20050103:0710,0.0,0.0,-1.02,3.03,0.0
20050103:0810,40.45,5.89,-0.93,2.97,0.0
20050103:0910,203.9,13.08,-0.62,3.24,0.0
20050103:1010,109.07,18.4,-0.3,3.17,0.0
20050103:1110,211.2,21.4,0.11,3.1,0.0
20050103:1210,279.61,21.74,0.42,3.1,0.0
20050103:1310,285.96,19.39,0.48,3.03,0.0
20050103:1410,340.87,14.6,0.46,2.9,0.0
20050103:1510,60.37,7.83,0.2,2.83,0.0
20050103:1610,0.0,0.0,-0.07,2.55,0.0
20050103:1710,0.0,0.0,-0.54,1.86,0.0
20050103:1810,0.0,0.0,-1.12,1.52,0.0
20050103:1910,0.0,0.0,-1.38,1.66,0.0
20050103:2010,0.0,0.0,-1.81,1.45,0.0
20050103:2110,0.0,0.0,-2.23,1.38,0.0
20050103:2210,0.0,0.0,-2.48,1.17,0.0
20050103:2310,0.0,0.0,-2.56,0.9,0.0
20050104:0010,0.0,0.0,-2.03,0.41,0.0
20050104:0110,0.0,0.0,-1.95,0.21,0.0
20050104:0210,0.0,0.0,-2.0,0.34,0.0
20050104:0310,0.0,0.0,-2.19,0.62,0.0
20050104:0410,0.0,0.0,-2.18,0.69,0.0
20050104:0510,0.0,0.0,-2.63,0.9,0.0
20050104:0610,0.0,0.0,-3.0,1.03,0.0
20050104:0710,0.0,0.0,-2.94,1.17,0.0
20050104:0810,100.68,5.91,-2.92,1.24,0.0
20050104:0910,261.1,13.12,-0.5,1.03,0.0
20050104:1010,459.97,18.47,3.16,0.9,0.0
20050104:1110,464.46,21.49,5.73,0.97,0.0
20050104:1210,513.07,21.85,7.33,0.97,0.0
20050104:1310,504.37,19.51,8.12,0.97,0.0
20050104:1410,501.53,14.73,8.12,0.83,0.0
20050104:1510,59.48,7.97,7.37,0.83,0.0
20050104:1610,0.0,-0.3,6.04,0.97,0.0
20050104:1710,0.0,0.0,4.3,1.24,0.0
20050104:1810,0.0,0.0,0.5,1.72,0.0
20050104:1910,0.0,0.0,-0.72,1.72,0.0
20050104:2010,0.0,0.0,-2.11,1.79,0.0
20050104:2110,0.0,0.0,-2.61,1.72,0.0
20050104:2210,0.0,0.0,-2.74,1.72,0.0
20050104:2310,0.0,0.0,-2.78,1.72,0.0
20050105:0010,0.0,0.0,-2.76,1.59,0.0
20050105:0110,0.0,0.0,-2.83,1.66,0.0
20050105:0210,0.0,0.0,-2.62,1.72,0.0
20050105:0310,0.0,0.0,-2.78,1.52,0.0
20050105:0410,0.0,0.0,-2.7,1.38,0.0
20050105:0510,0.0,0.0,-2.44,1.24,0.0
20050105:0610,0.0,0.0,-2.32,1.17,0.0
20050105:0710,0.0,0.0,-2.26,1.17,0.0
20050105:0810,100.05,5.95,-1.86,1.17,0.0
20050105:0910,437.54,13.17,0.31,0.97,0.0
20050105:1010,431.8,18.54,2.64,1.03,0.0
20050105:1110,534.48,21.58,3.69,1.38,0.0
20050105:1210,249.73,21.97,4.05,1.59,0.0
20050105:1310,514.83,19.64,4.53,1.72,0.0
20050105:1410,509.16,14.87,4.5,1.52,0.0
20050105:1510,64.81,8.11,3.22,1.24,0.0
20050105:1610,0.0,-0.15,2.19,1.38,0.0
20050105:1710,0.0,0.0,1.47,1.31,0.0
20050105:1810,0.0,0.0,0.77,1.31,0.0
20050105:1910,0.0,0.0,0.16,1.38,0.0
20050105:2010,0.0,0.0,0.33,1.38,0.0
20050105:2110,0.0,0.0,0.72,1.52,0.0
20050105:2210,0.0,0.0,1.17,1.66,0.0
20050105:2310,0.0,0.0,1.39,1.72,0.0
20050106:0010,0.0,0.0,1.22,1.72,0.0
20050106:0110,0.0,0.0,1.08,1.72,0.0
20050106:0210,0.0,0.0,1.72,1.59,0.0
20050106:0310,0.0,0.0,2.42,1.52,0.0
20050106:0410,0.0,0.0,2.51,1.24,0.0
20050106:0510,0.0,0.0,2.36,1.17,0.0
20050106:0610,0.0,0.0,2.34,1.17,0.0
20050106:0710,0.0,0.0,2.63,1.52,0.0
20050106:0810,25.67,5.98,2.92,1.72,0.0
20050106:0910,76.41,13.23,3.54,1.93,0.0
20050106:1010,55.19,18.62,4.07,2.21,0.0
20050106:1110,40.22,21.69,4.62,2.48,0.0
20050106:1210,71.09,22.09,4.98,2.48,0.0
20050106:1310,57.06,19.78,5.18,2.21,0.0
20050106:1410,63.61,15.02,5.5,2.34,0.0
20050106:1510,46.17,8.26,5.33,2.48,0.0
20050106:1610,1.78,0.0,4.72,1.66,0.0
20050106:1710,0.0,0.0,3.86,1.52,0.0
20050106:1810,0.0,0.0,3.46,1.52,0.0
20050106:1910,0.0,0.0,3.43,1.59,0.0
20050106:2010,0.0,0.0,3.14,1.52,0.0
20050106:2110,0.0,0.0,2.87,1.38,0.0
20050106:2210,0.0,0.0,2.49,1.31,0.0
20050106:2310,0.0,0.0,2.24,1.24,0.0
20050107:0010,0.0,0.0,1.67,1.17,0.0
20050107:0110,0.0,0.0,1.22,0.97,0.0
20050107:0210,0.0,0.0,0.41,0.83,0.0
20050107:0310,0.0,0.0,0.0,0.62,0.0
20050107:0410,0.0,0.0,-0.65,0.62,0.0
20050107:0510,0.0,0.0,-0.5,0.76,0.0
20050107:0610,0.0,0.0,-0.47,0.9,0.0
20050107:0710,0.0,0.0,-0.93,0.69,0.0
20050107:0810,45.2,6.03,-0.14,0.76,0.0
20050107:0910,336.23,13.29,1.26,0.83,0.0
20050107:1010,439.45,18.71,3.9,0.9,0.0
20050107:1110,607.0,21.8,6.4,1.1,0.0
20050107:1210,708.29,22.22,8.33,1.38,0.0
20050107:1310,677.03,19.92,9.59,1.66,0.0
20050107:1410,650.35,15.17,10.09,1.72,0.0
20050107:1510,45.28,8.42,9.42,1.79,0.0
20050107:1610,12.43,0.16,7.47,2.34,0.0
20050107:1710,0.0,0.0,5.71,2.48,0.0
20050107:1810,0.0,0.0,4.61,2.62,0.0
20050107:1910,0.0,0.0,4.19,2.9,0.0
20050107:2010,0.0,0.0,3.94,3.03,0.0
20050107:2110,0.0,0.0,3.97,3.24,0.0
20050107:2210,0.0,0.0,4.14,3.31,0.0
20050107:2310,0.0,0.0,4.23,3.45,0.0
20050108:0010,0.0,0.0,4.15,3.45,0.0
20050108:0110,0.0,0.0,4.15,3.45,0.0
20050108:0210,0.0,0.0,3.89,3.45,0.0
20050108:0310,0.0,0.0,3.61,3.38,0.0
20050108:0410,0.0,0.0,3.47,3.24,0.0
20050108:0510,0.0,0.0,3.32,3.24,0.0
20050108:0610,0.0,0.0,3.24,3.17,0.0
20050108:0710,0.0,0.0,3.07,3.17,0.0
20050108:0810,106.33,6.08,3.0,3.03,0.0
20050108:0910,374.92,13.37,3.9,2.55,0.0
20050108:1010,542.65,18.8,5.47,2.76,0.0
20050108:1110,716.03,21.91,6.99,2.55,0.0
20050108:1210,748.98,22.36,8.61,2.28,0.0
20050108:1310,686.91,20.07,9.54,1.93,0.0
20050108:1410,661.79,15.33,9.76,1.72,0.0
20050108:1510,53.27,8.58,8.99,1.66,0.0
20050108:1610,12.43,0.32,7.54,1.66,0.0
20050108:1710,0.0,0.0,5.81,1.79,0.0
20050108:1810,0.0,0.0,4.24,1.66,0.0
20050108:1910,0.0,0.0,3.4,1.59,0.0
20050108:2010,0.0,0.0,2.69,1.59,0.0
20050108:2110,0.0,0.0,2.26,1.59,0.0
20050108:2210,0.0,0.0,2.41,1.45,0.0
20050108:2310,0.0,0.0,2.73,1.38,0.0
20050109:0010,0.0,0.0,2.48,1.24,0.0
20050109:0110,0.0,0.0,1.82,1.24,0.0
20050109:0210,0.0,0.0,1.84,1.24,0.0
20050109:0310,0.0,0.0,2.22,1.17,0.0
20050109:0410,0.0,0.0,2.22,1.17,0.0
20050109:0510,0.0,0.0,2.19,1.31,0.0
20050109:0610,0.0,0.0,2.33,1.38,0.0
20050109:0710,0.0,0.0,2.59,1.45,0.0
20050109:0810,46.74,6.14,2.47,1.38,0.0
20050109:0910,146.38,13.44,3.67,0.9,0.0
20050109:1010,446.51,18.91,6.45,0.69,0.0
20050109:1110,654.51,22.04,7.97,0.9,0.0
20050109:1210,825.96,22.5,8.56,0.97,0.0
20050109:1310,763.31,20.23,8.86,0.83,0.0
20050109:1410,630.72,15.5,8.94,0.55,0.0
20050109:1510,59.48,8.75,8.61,0.41,0.0
20050109:1610,15.09,0.49,7.61,0.69,0.0
20050109:1710,0.0,0.0,6.33,0.9,0.0
20050109:1810,0.0,0.0,4.34,1.31,0.0
20050109:1910,0.0,0.0,2.85,1.66,0.0
20050109:2010,0.0,0.0,1.89,1.86,0.0
20050109:2110,0.0,0.0,1.57,2.07,0.0
20050109:2210,0.0,0.0,0.39,2.21,0.0
20050109:2310,0.0,0.0,0.68,2.28,0.0
20050110:0010,0.0,0.0,1.01,2.34,0.0
20050110:0110,0.0,0.0,1.24,2.34,0.0
20050110:0210,0.0,0.0,1.52,2.34,0.0
20050110:0310,0.0,0.0,1.61,2.48,0.0
20050110:0410,0.0,0.0,1.65,2.62,0.0
20050110:0510,0.0,0.0,1.9,2.9,0.0
20050110:0610,0.0,0.0,1.95,3.1,0.0
20050110:0710,0.0,0.0,1.95,3.31,0.0
20050110:0810,112.64,6.2,2.24,3.38,0.0
20050110:0910,382.03,13.53,3.16,3.24,0.0
20050110:1010,617.37,19.01,4.33,3.1,0.0
20050110:1110,727.88,22.17,5.52,3.59,0.0
20050110:1210,767.5,22.65,6.49,3.72,0.0
20050110:1310,669.34,20.4,6.86,3.59,0.0
20050110:1410,680.4,15.67,6.77,3.1,0.0
20050110:1510,43.5,8.92,6.33,2.76,0.0
20050110:1610,15.09,0.66,5.19,2.34,0.0
20050110:1710,0.0,0.0,3.97,2.28,0.0
20050110:1810,0.0,0.0,3.11,2.28,0.0
20050110:1910,0.0,0.0,2.65,2.07,0.0
20050110:2010,0.0,0.0,2.51,1.93,0.0
20050110:2110,0.0,0.0,2.23,1.86,0.0
20050110:2210,0.0,0.0,1.54,1.86,0.0
20050110:2310,0.0,0.0,0.91,1.79,0.0
20050111:0010,0.0,0.0,0.33,1.66,0.0
20050111:0110,0.0,0.0,-0.07,1.45,0.0
20050111:0210,0.0,0.0,-1.0,1.38,0.0
20050111:0310,0.0,0.0,-1.42,1.24,0.0
20050111:0410,0.0,0.0,-1.5,1.17,0.0
20050111:0510,0.0,0.0,-1.52,1.1,0.0
20050111:0610,0.0,0.0,-1.03,0.97,0.0
20050111:0710,0.0,0.0,-1.52,1.03,0.0
20050111:0810,118.26,6.27,-1.07,0.83,0.0
20050111:0910,382.47,13.62,0.71,0.55,0.0
20050111:1010,619.15,19.13,3.74,0.41,0.0
20050111:1110,791.78,22.31,5.66,0.41,0.0
20050111:1210,836.42,22.81,6.96,0.48,0.0
